file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00494_0469_1770759_to_1774684,སྒྲོལ་མ་བཅས་ཁྲུང་ཁྲུང་དཀར་མོ་དགུན་དུས་གནས་སའི་གཙང་འགྲམ་དུ་བསྡད།  ,sgrol ma bcas khrung khrung dkar mo dgun dus gnas sa'i gtsang 'gram du bsdad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0469_1770759_to_1774684.wav,STT_AB,2,65,3.925,wav16k/STT_AB00494_0469_1770759_to_1774684.wav,སྒྲོལ་མ་བཅས་ཁྲུང་ཁྲུང་དཀར་མོ་དགུན་དུས་གནས་སའི་གཙང་འགྲམ་དུ་བསྡད།
STT_AB00495_0023_81527_to_83899,ངས་བྱང་ཤམ་བྷ་ལ་ནས་འཁྲིད་ཡོང་བ་ཡིན།  ,ngas byang sham b+ha la nas 'khrid yong ba yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00495_0023_81527_to_83899.wav,STT_AB,2,36,2.372,wav16k/STT_AB00495_0023_81527_to_83899.wav,ངས་བྱང་ཤམ་བྷ་ལ་ནས་ཁྲིད་ཡོང་བ་ཡིན།
STT_AB00494_0472_1783762_to_1786817,ད་སྐྱིད་པོ་ཐོངས། ཞེས་སྤྲོ་སྣང་ཆེན་པོས་བཤད།  ,da skyid po thongs/_zhes spro snang chen pos bshad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0472_1783762_to_1786817.wav,STT_AB,2,44,3.055,wav16k/STT_AB00494_0472_1783762_to_1786817.wav,ད་སྐྱིད་པོ་འཐོངས། ཞེས་སྤྲོ་སྣང་ཆེན་པོས་བཤད།
STT_AB00494_0474_1793336_to_1798643,ཡིན་ནའང་། ང་ཚོས་མ་འོངས་པར་མུ་མཐུད་གཟབ་གཟབ་བྱེད་དགོས་པ་རེད། ཅེས་ནན་བཤད་བྱས།  ,yin na'ang /_nga tshos ma 'ongs par mu mthud gzab gzab byed dgos pa red/_ces nan bshad byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0474_1793336_to_1798643.wav,STT_AB,2,76,5.307,wav16k/STT_AB00494_0474_1793336_to_1798643.wav,ཡིན་ནའང་ང་ཚོས་མ་འོངས་པར་མུ་མཐུད་གཟབ་གཟབ་བྱེད་དགོས་པ་རེད། ཅེས་ནན་བཤས་བྱས།
STT_AB00494_0476_1801561_to_1803489,ངས་དེ་ལ་མོས་མཐུན་བྱེད་ཀྱི་ཡིན།  ,ngas de la mos mthun byed kyi yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00494_0476_1801561_to_1803489.wav,STT_AB,2,32,1.928,wav16k/STT_AB00494_0476_1801561_to_1803489.wav,ངས་དེ་ལ་མོས་མཐུན་བྱེད་ཀྱི་ཡིན།
STT_AB00495_0015_52295_to_57977,གནས་ཚུལ་དངོས་ད་དུང་མ་ཤེས་པས་ཁོང་ཚོ་སྐུ་ཞབས་བགྲེས་སོང་དེའི་མདུན་དུ་སོང་ནས་ ,gnas tshul dngos da dung ma shes pas khong tsho sku zhabs bgres song de'i mdun du song nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00495_0015_52295_to_57977.wav,STT_AB,2,74,5.682,wav16k/STT_AB00495_0015_52295_to_57977.wav,གནས་ཚུལ་དངོས་ད་དུང་མ་ཤེས་པས་ ཁོང་ཚོ་སྐུ་ཞོགས་བགྲེས་སོང་དེའི་མདུན་དུ་སོང་ནས།
STT_AB00510_0035_148182_to_149291,ལོ་འཁོར་པད་ཚལ་ཨེ་ ,lo 'khor pad tshal e _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00510_0035_148182_to_149291.wav,STT_AB,2,18,1.109,wav16k/STT_AB00510_0035_148182_to_149291.wav,ལོ་འཁོར་པད་ཚལ་ཨེ།
STT_AB00355_0017_86919_to_95793,གནམ་ངོ་ཧ་ཅང་དྭངས་པའི་སྐབས་སུ་སྐྱིད་གླིང་དེ་ནས་ཕར་བལྟས་ན། འཛམ་གླིང་གི་རི་བོ་མཐོ་ཤོས་རྣམས་ཀྱི་གསུམ་པར་བརྩིས་པའི་གངས་ཆེན་རྫོང་ལྔ་ཞེས་པ་དེ་མཐོང་ལ།  ,gnam ngo ha cang dwangs pa'i skabs su skyid gling de nas phar bltas na/_'dzam gling gi ri bo mtho shos rnams kyi gsum par brtsis pa'i gangs chen rdzong lnga zhes pa de mthong la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00355_0017_86919_to_95793.wav,STT_AB,2,144,8.874,wav16k/STT_AB00355_0017_86919_to_95793.wav,རྣམ་ངོ་ཧ་ཅང་དྭངས་པའི་སྐབས་སུ་སྐྱི་གླིང་དེ་ནས་ཕར་བལྟས་ན། འཛམ་གླིང་གི་རི་བོ་མཐོ་ཤོག་རྣམས་ཀྱིས་གསུམ་པར་བརྩིས་པའི་གངས་ཆེན་རྫོ་ྔ་ཞེས་པ་དེ་མཐོང་ལ།
STT_AB00495_0049_183319_to_187175,བྱང་ཤམ་བྷ་ལའི་མི་རྣམས་སྟོབས་ཆེ་ཞིང་རིག་པ་རྣོ་བ།  ,byang sham b+ha la'i mi rnams stobs che zhing rig pa rno ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00495_0049_183319_to_187175.wav,STT_AB,2,49,3.856,wav16k/STT_AB00495_0049_183319_to_187175.wav,བྱང་ཤམ་བྷ་ལའི་མི་རྣམས་སྟོབས་ཆེ་ཞིང་རིག་པ་རྣོ་བ།
STT_AB00495_0050_187773_to_190588,ལས་ལ་བརྩོན་ཞིང་དཔའ་ངར་ཆེ་བ་མ་ཟད།  ,las la brtson zhing dpa' ngar che ba ma zad/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00495_0050_187773_to_190588.wav,STT_AB,2,34,2.815,wav16k/STT_AB00495_0050_187773_to_190588.wav,ལས་ལ་བརྩོན་ཞིང་དཔའ་ངར་ཆེ་བར་མ་ཟད།
